"id","name","created_at","updated_at"
1,"バイク","2019-09-12 14:47:37","2019-09-12 14:47:37"
2,"自動車パーツ","2019-09-12 14:47:37","2019-09-12 14:47:37"
3,"コスメ・香水・美容","2019-09-12 14:47:39","2019-09-12 14:47:39"
4,"国内自動車本体","2019-09-12 14:48:10","2019-09-12 14:48:10"
5,"食品","2019-09-12 14:48:11","2019-09-12 14:48:11"
6,"外国自動車本体","2019-09-12 14:48:12","2019-09-12 14:48:12"
7,"テレビゲーム","2019-09-12 14:48:15","2019-09-12 14:48:15"
8,"楽器","2019-09-12 14:48:17","2019-09-12 14:48:17"
9,"インテリア・住まい・雑貨","2019-09-12 14:48:18","2019-09-12 14:48:18"
10,"ベビー・キッズ","2019-09-12 14:48:24","2019-09-12 14:48:24"
11,"キッチン・食器","2019-09-12 14:48:48","2019-09-12 14:48:48"
12,"レディース","2019-09-12 14:49:02","2019-09-12 14:49:02"
13,"メンズ","2019-09-12 14:54:12","2019-09-12 14:54:12"
14,"スマートフォン・携帯電話","2019-09-12 14:56:47","2019-09-12 14:56:47"
15,"スポーツ・レジャー","2019-09-12 14:56:50","2019-09-12 14:56:50"
16,"時計","2019-09-12 14:57:09","2019-09-12 14:57:09"
