"id","category_id","brand_group_id","created_at","updated_at"
1,1,12,"2019-09-12 15:01:11","2019-09-12 15:01:11"
2,200,13,"2019-09-12 15:01:11","2019-09-12 15:01:11"
3,345,10,"2019-09-12 15:01:11","2019-09-12 15:01:11"
4,480,9,"2019-09-12 15:01:11","2019-09-12 15:01:11"
5,793,3,"2019-09-12 15:01:11","2019-09-12 15:01:11"
6,1197,1,"2019-09-12 15:01:11","2019-09-12 15:01:11"
7,1197,4,"2019-09-12 15:01:12","2019-09-12 15:01:12"
8,1197,6,"2019-09-12 15:01:12","2019-09-12 15:01:12"
9,894,14,"2019-09-12 15:01:12","2019-09-12 15:01:12"
10,673,7,"2019-09-12 15:01:12","2019-09-12 15:01:12"
11,979,15,"2019-09-12 15:01:12","2019-09-12 15:01:12"
15,1,13,"2019-09-12 15:01:11","2019-09-12 15:01:11"
16,1,3,"2019-09-12 15:01:11","2019-09-12 15:01:11"
