"id","category_id","size_group_id","created_at","updated_at"
1,2,1,"2019-09-12 15:01:11","2019-09-12 15:01:11"
2,248,2,"2019-09-12 15:01:11","2019-09-12 15:01:11"
3,67,3,"2019-09-12 15:01:11","2019-09-12 15:01:11"
4,56,4,"2019-09-12 15:01:11","2019-09-12 15:01:11"
5,376,5,"2019-09-12 15:01:11","2019-09-12 15:01:11"
6,395,5,"2019-09-12 15:01:11","2019-09-12 15:01:11"
7,410,5,"2019-09-12 15:01:11","2019-09-12 15:01:11"
8,419,6,"2019-09-12 15:01:11","2019-09-12 15:01:11"
9,346,7,"2019-09-12 15:01:11","2019-09-12 15:01:11"
10,358,7,"2019-09-12 15:01:11","2019-09-12 15:01:11"
11,367,7,"2019-09-12 15:01:11","2019-09-12 15:01:11"
12,927,8,"2019-09-12 15:01:11","2019-09-12 15:01:11"
13,921,9,"2019-09-12 15:01:11","2019-09-12 15:01:11"
14,922,9,"2019-09-12 15:01:11","2019-09-12 15:01:11"
15,1234,10,"2019-09-12 15:01:11","2019-09-12 15:01:11"
16,1253,11,"2019-09-12 15:01:11","2019-09-12 15:01:11"
17,1203,12,"2019-09-12 15:01:11","2019-09-12 15:01:11"
18,1051,12,"2019-09-12 15:01:11","2019-09-12 15:01:11"
19,1039,13,"2019-09-12 15:01:11","2019-09-12 15:01:11"
