"id","name","created_at","updated_at"
1,"洋服","2019-09-12 14:47:37","2019-09-12 14:47:37"
2,"メンズ靴","2019-09-12 14:47:37","2019-09-12 14:47:37"
3,"レディース靴","2019-09-12 14:47:37","2019-09-12 14:47:37"
4,"スカート","2019-09-12 14:47:37","2019-09-12 14:47:37"
5,"キッズ服","2019-09-12 14:47:37","2019-09-12 14:47:37"
6,"ベビー・キッズ靴","2019-09-12 14:47:37","2019-09-12 14:47:37"
7,"ベビー服","2019-09-12 14:47:37","2019-09-12 14:47:37"
8,"テレビ","2019-09-12 14:47:37","2019-09-12 14:47:37"
9,"カメラレンズ","2019-09-12 14:47:37","2019-09-12 14:47:37"
10,"オートバイ","2019-09-12 14:47:37","2019-09-12 14:47:37"
11,"ヘルメット","2019-09-12 14:47:37","2019-09-12 14:47:37"
12,"タイヤ","2019-09-12 14:47:37","2019-09-12 14:47:37"
13,"スキー","2019-09-12 14:47:37","2019-09-12 14:47:37"
14,"スノーボード","2019-09-12 14:47:37","2019-09-12 14:47:37"
