"id","name","group_name","created_at","updated_at"
1,"XXS以下","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
2,"XS(SS))","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
3,"S","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
4,"M","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
5,"L","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
6,"XL（LL）","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
7,"2XL（3L）","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
8,"3XL（4L）","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
9,"4XL（5L）以上","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
10,"FREE SIZE","洋服","2019-11-18 02:47:09","2019-11-18 02:47:09"
11,"23.5cm以下","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
12,"24cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
13,"24.5cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
14,"25cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
15,"25.5cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
16,"26cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
17,"26.5cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
18,"27cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
19,"27.5cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
20,"28cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
21,"28.5cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
22,"29cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
23,"29.5cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
24,"30cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
25,"30.5cm","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
26,"31cm以上","メンズ靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
27,"20cm以下","レディース靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
28,"20.5cm","レディース靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
29,"21cm","レディース靴","2019-11-18 02:47:09","2019-11-18 02:47:09"
